adjective	valence	arousal	dominance
active	0.847	0.73	0.731
adventurous	0.969	0.898	0.722
aggressive	0.125	0.949	0.648
ambitious	0.484	0.821	0.717
autocratic	0.542	0.577	0.727
coarse	0.333	0.481	0.481
courageous	0.918	0.587	0.879
cruel	0.122	0.866	0.391
daring	0.583	0.84	0.711
dominant	0.406	0.854	0.893
energetic	0.847	0.868	0.902
enterprising	0.865	0.784	0.875
forceful	0.533	0.673	0.898
independent	0.885	0.44	0.872
inventive	0.78	0.627	0.721
logical	0.805	0.4	0.648
masculine	0.653	0.54	0.773
progressive	0.755	0.606	0.81
robust	0.667	0.604	0.719
rude	0.061	0.821	0.402
self-confident	0.0	0.0	0.0
stern	0.552	0.394	0.415
strong	0.912	0.745	0.895
tough	0.344	0.588	0.742
unemotional	0.0	0.0	0.0
